Match_Id,Player_Id,Player_team,Opposit_Team,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
1082603,20,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,21,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,35,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,85,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,87,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,88,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,147,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,186,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,254,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,306,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,314,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,386,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,406,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,410,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,471,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,476,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,477,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,483,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,488,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082603,490,Rising Pune Supergiants,Gujarat Lions,SPD Smith,SK Raina,MS Dhoni,KD Karthik
1082604,27,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,31,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,40,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,42,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,46,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,73,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,96,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,163,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,183,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,187,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,228,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,232,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,299,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,308,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,315,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,385,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,394,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082604,458,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,462,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,478,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,479,Kolkata Knight Riders,Sunrisers Hyderabad,G Gambhir,DA Warner,RV Uthappa,NV Ojha
1082604,489,Sunrisers Hyderabad,Kolkata Knight Riders,DA Warner,G Gambhir,NV Ojha,RV Uthappa
1082605,15,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,62,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,136,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,216,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,293,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,296,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,305,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,320,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
